,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
57,https://www.amazon.com/s?k=Red+Boxing+Shorts&page=3&qid=1661366339&ref=sr_pg_2,B081XH6T4S,$,,https://m.media-amazon.com/images/I/61YbBcNHwOL._AC_UL1500_.jpg,,red retro muay thai kickboxing shorts,20.0,29.99,Red Boxing Shorts,,4.4,https://www.amazon.com/retro-muay-kickboxing-shorts-large/dp/b081xh6t4s,3
58,https://www.amazon.com/s?k=Red+Boxing+Shorts&page=3&qid=1661366339&ref=sr_pg_2,B08F29Y9TK,$,,https://m.media-amazon.com/images/I/71XtDwAO-kL._AC_UL1500_.jpg,,fight shorts recruit black green red purple blue mens boxing mma bjj grappling kickboxing no gi,30.0,49.95,Red Boxing Shorts,,4.2,https://www.amazon.com/hardcore-training-recruit-grappling-kickboxing/dp/b08f29y9tk,3
62,https://www.amazon.com/s?k=Red+Boxing+Shorts&page=3&qid=1661366339&ref=sr_pg_2,B096B8X3PB,$,,https://m.media-amazon.com/images/I/71eKrWaVY3S._AC_UL1500_.jpg,,muay thai shorts boxing shorts for men women high grade martial arts training gym trunks classic boxing shorts.,86.0,25.9,Red Boxing Shorts,,4.3,https://www.amazon.com/flkky-shorts-kickboxing-shorts-f07-red/dp/b096b8x3pb,3
42,https://www.amazon.com/s?k=Red+Boxing+Shorts&page=2&qid=1661366326&ref=sr_pg_1,B09339Y5GH,$,,https://m.media-amazon.com/images/I/61dNbGJim+S._AC_UL1500_.jpg,,classic muay thai shorts black white red camo blue kick boxing mma combat sport sparring trunks,34.0,29.95,Red Boxing Shorts,,4.1,https://www.amazon.com/hardcore-training-classic-shorts-sparring/dp/b09339y5gh,3
12,https://www.amazon.com/s?k=Red+Boxing+Shorts,B07SQZ4YZJ,$,,https://m.media-amazon.com/images/I/71RvtejiXPL._AC_UL1500_.jpg,,tuff sport muay thai shorts boxing shorts trunks kick martial arts training gym clothing,32.0,35.99,Red Boxing Shorts,,4.4,https://www.amazon.com/boxing-martial-training-clothing-tuf-ms637-red/dp/b07sqz4yzj,3
76,https://www.amazon.com/s?k=Red+Boxing+Shorts&page=3&qid=1661366339&ref=sr_pg_2,B017X3NORM,$,,https://m.media-amazon.com/images/I/71nStVTkn7L._AC_UL1500_.jpg,,mens mesh shorts elastic sports gym performance workout boxing jersey basketball pants,475.0,15.99,Red Boxing Shorts,,4.2,https://www.amazon.com/hat-beyond-athletic-basketball-1ih01_red/dp/b017x3norm,3
8,https://www.amazon.com/s?k=Red+Boxing+Shorts,B09Q358V3D,$,,https://m.media-amazon.com/images/I/81X1hqrk0fL._AC_UL1500_.jpg,,muay thai shorts boxing shorts traditional styles mma workout kickboxing,21.0,35.99,Red Boxing Shorts,,4.7,https://www.amazon.com/tuff-sport-traditional-kickboxing-tuf-ms658-red/dp/b09q358v3d,3
64,https://www.amazon.com/s?k=Red+Boxing+Shorts&page=3&qid=1661366339&ref=sr_pg_2,B078LWVCTQ,$,,https://m.media-amazon.com/images/I/51tlW88zP0L._AC_UL1500_.jpg,,kids muay thai boxing shorts kick boxing trunks satin,32.0,21.99,Red Boxing Shorts,,4.5,https://www.amazon.com/asmanjune-boxing-shorts-trunks-satin/dp/b078lwvctq,2
53,https://www.amazon.com/s?k=Red+Boxing+Shorts&page=2&qid=1661366326&ref=sr_pg_1,B00CS6R5HK,$,,https://m.media-amazon.com/images/I/7194hLC41WL._AC_UL1500_.jpg,,mens new shiny work out dazzle boxing shorts,125.0,18.97,Red Boxing Shorts,,4.0,https://www.amazon.com/gary-majdell-sport-dazzle-boxing/dp/b00cs6r5hk,2
6,https://www.amazon.com/s?k=Red+Boxing+Shorts,B01GBMKY88,$,,https://m.media-amazon.com/images/I/81sho7YFGgL._AC_UL1500_.jpg,,kids boxing uniform set top & shorts 2 pcs top shorts boxing clothes for kids boys/girls for 03 to 14 years,446.0,19.99,Red Boxing Shorts,,4.3,https://www.amazon.com/prime-sports-boxing-shorts-fabric/dp/b01gbmky88,2
2,https://www.amazon.com/s?k=Red+Boxing+Shorts,B07SH7ZW51,$,,https://m.media-amazon.com/images/I/71ZycLIuKHL._AC_UL1500_.jpg,,men boxing shorts for boxing training fitness gym cage fight mma mauy thai kickboxing trunks clothing,301.0,18.99,Red Boxing Shorts,,4.3,https://www.amazon.com/boxing-training-fitness-kickboxing-clothing/dp/b07sh7zw51,2
46,https://www.amazon.com/s?k=Red+Boxing+Shorts&page=2&qid=1661366326&ref=sr_pg_1,B07QZHLT5M,$,,https://m.media-amazon.com/images/I/61-7VStdD+L._AC_UL1500_.jpg,,"muay thai shorts for men and women, high grade mma gym boxing kickboxing shorts.",214.0,26.99,Red Boxing Shorts,,4.4,https://www.amazon.com/namazu-kickboxing-training-grappling-clothing/dp/b07qzhlt5m,2
29,https://www.amazon.com/s?k=Red+Boxing+Shorts,B07FM2B9J4,$,,https://m.media-amazon.com/images/I/91KxgjGtihL._AC_UL1500_.jpg,,kid muay thai boxing shorts 2 years old   10 years old,180.0,23.9,Red Boxing Shorts,,4.6,https://www.amazon.com/nakarad-muay-boxing-shorts-years/dp/b07fm2b9j4,2
